train,test,model,median,p95,max,mean,n
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-GratN_90_wb-CMYK,mlp_deep,6.592,9.056,12.245,6.238,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,poly3,3.519,6.945,27.44,3.846,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,svm,3.276,6.117,12.5,3.391,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-NordK_92a_wb-CMYK,mlp_deep,3.519,6.832,14.335,3.668,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,poly3,6.123,11.34,26.848,6.291,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,svm,5.609,10.931,14.904,5.892,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-PressJ_158_wb-CMYK,mlp_deep,5.929,10.978,14.923,6.098,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,poly3,3.765,9.132,27.852,4.38,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,svm,3.42,7.876,12.772,3.899,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-RZPOI_125_2_wb-CMYK,mlp_deep,3.688,8.35,13.999,4.194,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,poly3,2.897,5.937,26.881,3.184,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,svm,2.646,4.898,8.942,2.758,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-SudK_99_2_wb-CMYK,mlp_deep,2.819,6.31,10.154,3.131,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,poly3,2.631,9.283,28.544,3.451,1485
IFRA-wb-Mbd_103a_wb-CMYK,IFRA-wb-Sudz_100_wb-CMYK,svm,2.472,7.811,24.578,3.168,1485
